,ID,comments
74,Cayde-6,누가 더 우월하다 할 문제인가 ㅎ난 음색은 성시경이 더 좋지만 곡 스타일은 장범준이 좋다~~~~
75,두!두!다!다,보컬로써 가치는 성시경 압승그 이외에 노래를 직접 만든다는 점부터 뭐 그런건 장범준한테 명함 내미기도 민망하지
76,위선적인축리웹,가창력만 따진다면 성시경이긴 할듯
77,(덜렁거리며),본인이 더 체감한 가수가 본인에게 더 높게 평가 되는거라 생각함.난 둘 다 별로 체감하지 못했었는데 그나마 더 젊었어서 노래 들었던게 성시경의 노래를 많이 들어서 그런가 성시경.
78,개꼴데해체점,본인 처음 가져본 테이프가 성시경 1집이었음 성시경은 아스날같은거임 꾸준히 상위권 장범준은 신드롬이었고
79,박뽀영,하우HOW 성시경도 작사작곡 많은데.. 근데 벚꽃엔딩이 넘쎄다
80,크크루삥똥,지금은 성시경이 더 높을지라도 시간지나면 장범준이 넘어서긴할듯
81,(부득이하게),"성시경, 박효신 넘었나?"
82,쿤디판다,발라드 goat 성시경이라는 댓글은 진짜 개소리임. 발라드 goat는 이문세지 ㅅㅂ
83,나카모리아키나,쿤디판다 아니 솔직히 성시경은 박효신이랑도 힘들어 보이는데;;
84,캐뻘줌,성시경 노래는 좋은데 사람은 싸가지 없어서 별로임
85,Maignan,근데 나이때문인가 성시경노래를 몇개모름 거리에서랑 몇개 더..? 장범준노래는 많이알고
86,파이리돈까스,"가수로서는 성시경, 뮤지션으로서는 장범준장범준 자가복제가 심하니 어쩌니 해도 벛꽃엔딩 임팩트가 너무 강함벛꽃엔딩은 단순히 히트곡이 아니라, 그냥 그 계절 그 감성 자체라"
87,고북2,난 성시경특유의 감성이좋아
88,학위좀주세요제발,장범준 성시경이야 뭐 취향차이라고 쳐도장범준이 너무 무시 당하는 느낌은 있네 노래가 따라 부를만 해서 그런가? 그래서 더 대단한건디.. 남들이 부르기 어렵고 고음 팍팍 내질러야 대단한 가수인건 아닌데 말야
89,siea,걍 닥 성시경 아님?
90,아임닭,성시경이 콘서트티켓파워력 훨씬 더 쎌텐데ㅋㅋ
91,장수풍뎅이애벌레,나도 무조건 장범준이라 생각했는데 여긴 성시경 여론이 점령해서 놀람난 장범준노래를 더 많이 들었음
92,제니콜라,노래 실력은 성시경이지만 자기 음역대나 목소리 컬러에 맞는 음악을 잘 뽑아내는 건 장범준임. 징범준에게 감사해라 고음역대 노래 안만들고 쉽게 노래방에서 부를 수 있는 노래 만들어줘서
93,삼성이성규,내가 작곡가면 성시경한테 곡주고싶긴할듯
94,뿡2,성시경은 그냥 발라더고장범준은 장르를 개척한 개척자임
95,라마라마라마,이건 닥치고 성시경이지 이걸 왜 고민하나 목소리 하나로 끝 아님?
96,Ebitda,무조건 성시경인데 이걸 장범준이 비빈다고? 어이가없다
97,코인은돈복사,난 성시경 노래 좋아~
98,구광모,가수로는 성시경이고 뮤지션으로서는 장범준 아닌가
99,가끔이러다,난 성시경
100,firstaid,히트곡수는 성시경이고 고점은 장범준아닌가
101,순돌스,근데 일단 보컬실력면에선 성시경 아닌가?장범준은 작곡실력은 인정하지만 음색이외에는딱히 보컬로는 뭐없는데
102,전주역,가창력이라던지 이런건 성시경이 이길 수 있으나 활동 자체는 장범준이 쌔다고 봄
103,마스터이이,"히든싱어 장범준 2라탈락 , 성시경 우승 .   고로 성시경 승"
104,꽃벙죽,가창력만 따지면 당연히 성시경이겠지 근데 누가 더 좋은 아티스트고 가수냐 하면 닥 장범준 아닌가? 애초에 장범준 앨범이랑 싱글 커리어 따라오는 가수가 몇이나 된다고
105,Lloyds,누구 노래가 더? 그러면 벚꽃 히트가 많은? 그러면 성시경 아닌가. 근데 영향력은 벚꽃 이길 노래가 앞으로도 있을까 싶다.
106,강구zl,"아까도 장범준 너무 내려치기 당한다고 댓글달았었는데닥 성시경이란 사람들 보면 걍 앞뒤다짜르고 지생각만 맞다는 인간들이 많은듯그리고 성시경이 마녀사냥+유튭 으로 인지도 개올라가서 오히려 젊은세대가 장범준보다 성시경을 좋아하는게 느껴진다성시경 발라드가수로서 독자적인 입지,본인스타일,메가히트곡 다 인정하지만 막상 본인 가수하던 시절에 독보적인 느낌은 1도 없었음"
107,라우브,먹을텐데 성식영 승
108,하입쿠키,근데 성시경은 전성기에 남자들한테 비호감으로 찍혀서 저평가 받은 감도 있음
109,모기죽여존나죽여,노래 실력은 성시경그 외 직곡이라던가 대중성은 장범준 아님?
110,포계의업상입니다,이게 비교가되나 ㅋㅋㅋㅋ장범준은 진짜 한획을 그은 사람인데 성시경은 목소리 좋은 당시대 잘하는 가수 1 정도고
111,오르니틴,포계의업상입니다 신승훈 다음 계보가 성시경임국가대표 발라더하지만 장범준이 위라고 본다
112,dksmdjs,아까 댓글보니 장범준 개좆으로 보는 댓글들도 많던데 ㅋㅋㅋㅋㅋ성시경도 대단하지만 장범준을 개좆으로 보는 댓글이 있다는게 존나 신기했음 ㅋㅋ
113,캡틴룩,"보컬만 따지면 성시경, 프로듀싱 능력까지 치면 장범준이라고 생각함"
114,음밥페내놔,개인적으로는 성시경내 최애곡이 희재이기도 하고…
115,할머니사랑꾼,"성시경이 가수로서의 자질 (음색, 가창력)이 엄청 뛰어나고 명곡도 많지만 장범준은 좀 더 대중적으로 히트하고 성공을 거둔 뮤지션이라.. vs의 기준이 정확히 가수의 자질이냐 아님 그냥 연예인으로서의 대중성의 성공이냐에 따라 평가가 다르지"
116,세르히오정게로,닥성시경인줄 알았는데장범준 평가가 이리 높았나
117,에프엠골이아,나는 성시경이긴한데..지금까지 경력이나 이런걸 봤을때 장범준이..시간만지나면 뛰어넘을거라고봄...개인적으로 음색은 성시경이 너무좋고..다른 아티스트적인 능력이나 작사작곡능력은 장범준이 좋아서..ㅋㅋㅋ
118,으라챠,장범준은 버스커버스커 1집 발매한걸로 그냥 성시경 가볍게 정리하는거 아닌가... 이정도 파급력 가진 가수가 2010년대에 얼마나 있었는지
119,현대천문학개론,노래 실력은 성시경
120,유상빈,노래 가창력은 성시경. 음악인으로서 더 성공은 장범준
121,콩순이김레이,노래를 누가 더 잘하냐 > 성시경누가 더 위대한 아티스트냐 > 장범준
122,Kokekeke,성시경은 요즘 노래 안하고 술 많이 드시는 분 아니었나
123,식민지구단,결국 돈 많이 번 사람이 승자아님?? 이걸로 따져도 장범준은 곡수가 적은 대신 효자곡이 성시경보다 수익이 좋을거 같고 성시경은 효자곡이 장범준보다 적겠지만 주옥 같은 노래가 한 둘이 아니라 존나 박빙이네
124,혀르테타학,개인적으로 장범준 노래는 참 좋다는 생각이 항상 들지만 성시경 노래처럼 감동은 없는 듯 ..
125,내삶의반다이크,와 ㅋㅋㅋ진짜 내가 엄마한테 장범준 노래 뭐가 좋다고 맨날 듣냐고 소리 듣던 사람인데도 성시경인데어떻게 장범준이지 ㅋㅋㅋㅋ 진짜 이해 안됨ㅋㅋㅋ임팩트만 따지면 장범준인거 이해하는데 overall로 장범준이 위라고? 전혀 아마 10대20대 한정일듯
