ID,comments
엘마,미하일발락 성시경 대표곡 대부분이 자기 작사작곡이 아니잖음자기가 작곡한 곡들은 대표곡에서 거의 언급도 안되는데장범준은 자기 대표곡들 다 자기가 만든거고 여기서 아티스트로서 비교가 안된다 생각함
레테로비쥬얼,섹보스지스털섹 꼭 싱어송라이터여야만 할 이유는 없지않나....
엘마,"레테로비쥬얼 가수의 능력에는 작곡,작사도 생각보다 평가 크게 차지함"
섹보스지스털섹,레테로비쥬얼 그만큼 작사작곡이 노래를 부르는것보다 더 힘든 작업이기 때문에 누가 더 대단하냐를 따질때는 중요하다고 봄. 물론 장범준이 히트곡이 적고 성시경 히트곡이 엄청 많다면 성시경 손을 들어주겠지만 장범준이 쓴 히트곡이 성시경 히트곡 수 보다 적다고 생각하진 않음. 그렇다면 작사작곡을 하는 사람 손을 들어줘야겠지
레테로비쥬얼,섹보스지스털섹 작사작곡이 노래하는거보다 힘든작업이라는건 동의못하겠어.영역이 다른거지 뭐가 더 쉽고어렵진않을듯
섹보스지스털섹,"레테로비쥬얼 작사작곡은 창작이고 노래하는건 전달의 영역인데, 무에서 유를 창조하는게 존재하는걸 전달하는거보다 어렵긴 하겠지"
리들리스콧,"가수끼리 비교하는게 진짜 의미없는건데 참히피시대를 대표하는 음유시인,세계 음악사에 길이남는 가수,가사로 노벨 문학상 수상한 밥딜런 vs 김광석밥딜런에 비교하면 김광석은 비교되는것 만으로도 영광임근데 한국인들한테 둘이 비교가 될까?상대쪽 상처내기 밖에 안됨 이런건"
클라우드22,"리들리스콧 개인 취향에서 의미가 없는거지가수는 성과로 비교하는건데 왜 의미가 없어?  ㅋㅋ가요대상, 음반판매량, 음원 성적이라는 훌륭한 객관적 지표가 있는데 당대 최고 임펙트 가수들은 저 성적에서 압도적인데다가,사람들 인식 속에서도 강렬히 박혔으니 고트 취급받는건데"
리들리스콧,클라우드22 운동선수 스탯 비교도 아니고가수를 성과로 비교해서 우위 정하는게 무슨 의미야 ㅋㅋㅋ말그대로 취향차이지저 글이 '누가 더 앨범 많이 팔았냐' '누가 성적 좋았냐'같은 객관적 지표가지고 얘기하는것도 아닌데 ㅋ
클라우드22,"리들리스콧 취향은 니 개인한테 물을 때 의미없는거고.  고트 라고 불리는 사람들은 당연히 객관적인 지표로 비교 한다니깐?메시가 월드컵 우승컵 없어서 고트 논쟁 여전히 있는거고, 객관적인 지표 + 사람들의 인식이 합쳐져서 생기는거지.그냥 느낌적인 느낌으로 고트 정하는줄 아냐?"
리들리스콧,클라우드22 그러니까 가수가 운동선수냐고 ㅋㅋㅋㅋ그 지표가 기준이면 아이돌 가수들이 다 짱먹지 ㅋㅋㅋ
클라우드22,"리들리스콧 '평가' 라는 단어 자체를 모르는 친구네.평가는 객관적인 수치랑 사람들의 인식과 감정이 합쳐져서 나오는 결과물임.  당연히 수치적인 것도 중요하고, 니 말대로 수치만이 모든건 아님.  아이돌이 유리한 수치도 있고, 싱송라가 유리한 수치도 있고 근데 객관적인 수치는 그럼에도 중요함.원래 평가라는게 그렇다고."
리들리스콧,클라우드22 비평이야 당연히 하는건데저런류의 단순 비교에 무슨 객관적인 지표가 들어가냐 ㅋㅋ그게 안되니까 댓글 대부분이 주관적 견해만 있지
리들리스콧,클라우드22 너는 계속 인기의 척도가 되는 지표로 나누는데 원글자체도 그냥 두 개인간의 개인적 견해로 인한 논쟁이였어누가 더 인기많냐 같은 지표로 나눌수 있는 명제도 없는 vs였는데 인기순위 정하냐 ㅋㅋㅋ니 말대로 누가 더 인기 많았냐면 지표로 확인하면 되겠지그게 아니니까 논쟁이 되는거지
C3PO,리들리스콧 지표를 기준으로 해도 아이유가 여돌남돌 다 씹어먹잖아. 개인취향으로 가면 오리>아이유인 사람도 있을테니 세상에 할수있는 말이 없어짐
리들리스콧,C3PO 그건 아이유라는 특수경우만 들고오니까김범수vs아이돌그룹박효신vs아이돌그룹 이렇게 들고오면?객관적 지표랑 순위같은걸로 잡으면 인기 아이돌이 김나박이보다 뛰어난 가수됨주관적이면 니말처럼 오리가 아이유보다 좋은 사람도 있고그래서 저런 단순비교는 의미가 없다는거야
제드왕,리들리스콧 인기아이돌이 김나박이보다 뛰어난 가수아니냐난 그런거같은데뛰어나다는 표현보다는 더 대단하다
리들리스콧,제드왕 ㅇㅇ맞아10~20대 여자들 한테는bts가 비틀즈보다 좋은가수 일수있음객관적 지표만으로 비교할수 없다는 말임
제드왕,리들리스콧 근데 그거는 비틀즈가 지표가 더 좋잖아물론 지표로만 볼순없긴해 다 종합적인거지
리들리스콧,제드왕 지표도 인식도 비틀즈가 압도적인데지금의 10대들은 bts가 더 좋은가수일수 있는거지
제드왕,리들리스콧 그러니까 너는 그런평가를 인정한다 이런거임?
리들리스콧,제드왕 평가야 누구나 할수있는건데bts vs 비틀즈가 10~20대 여자들한테는 그 지표가 의미가 없는것처럼의미가 없다는 입장임bts vs 비틀즈 하면 지금 이미지 안좋아서 더 욕먹을텐데 상대 상처주기밖에 안됨
제드왕,리들리스콧 왜 의미가없어 지표를보면 걔네도 아 객관적으로 비틀즈가 더 높이 평가를 받는구나 그렇지만 난 방탄이 더좋아 이런거 생각할거아니야
리들리스콧,제드왕 ㅋㅋㅋㅋ 그러니까 그개 걔들한테 무슨 의미냐고전형적인 찐따 화법아니냐치킨vs피자 하고 치킨이 더 많이팔린다고치킨이 더 맛있는 음식이야 소리하는거랑 뭐가 다르냐 ㅋㅋ부먹vs찍먹 하는걸 가수로 옮겨간거지
