,ID,comments
75,Maignan,근데 나이때문인가 성시경노래를 몇개모름 거리에서랑 몇개 더..? 장범준노래는 많이알고
76,파이리돈까스,"가수로서는 성시경, 뮤지션으로서는 장범준장범준 자가복제가 심하니 어쩌니 해도 벛꽃엔딩 임팩트가 너무 강함벛꽃엔딩은 단순히 히트곡이 아니라, 그냥 그 계절 그 감성 자체라"
77,포짐이,"장범준은 벚꽃엔딩, 여수밤바다, 흔꽃샴 이세개로 그냥 현세대에서는 음악성으로는 압도적인거같은데"
78,hoser3,냉정하게 장범준이 승이긴 하지
79,Apink오하영,이거 아까 듣자마자 성 했었는데 곱씹어볼수록 장범준 대단하네
80,양발잽이카솔라,장범준이지
81,라이징패스트볼,난장범준
82,학위좀주세요제발,장범준 성시경이야 뭐 취향차이라고 쳐도장범준이 너무 무시 당하는 느낌은 있네 노래가 따라 부를만 해서 그런가? 그래서 더 대단한건디.. 남들이 부르기 어렵고 고음 팍팍 내질러야 대단한 가수인건 아닌데 말야
83,브엉저낭,학위좀주세요제발 내는노래마다 잘되는가수 진짜 몇없고 그중에 장범준이 있는데 ㄹㅇㅋㅋ
84,장수풍뎅이애벌레,나도 무조건 장범준이라 생각했는데 여긴 성시경 여론이 점령해서 놀람난 장범준노래를 더 많이 들었음
85,제니콜라,노래 실력은 성시경이지만 자기 음역대나 목소리 컬러에 맞는 음악을 잘 뽑아내는 건 장범준임. 징범준에게 감사해라 고음역대 노래 안만들고 쉽게 노래방에서 부를 수 있는 노래 만들어줘서
86,어쩔사과,삼성이성규 장범준은 자기가 작곡하는데 ㅋㅋ
87,크키노스,장범준 작곡이 넘사벽이라 종합 점수로 더 높게 평가 받아야되는게 맞다고 생각하긴함. 가창력이랑은 별개로.
88,뿡2,성시경은 그냥 발라더고장범준은 장르를 개척한 개척자임
89,파란코피,장범준 2집때 성남에서 공연 본적있는데. 진짜 노래잘하더라..장범준 노래를 들으면 이야기 같은게 연상되는게 진짜 큰 힘인거 같음
90,피파망겜,장범준은 작곡하잖아걍 비교 자체가 안되는데
91,주린이어요,장범준은 지역 경제를 살렸음;;
92,Ebitda,무조건 성시경인데 이걸 장범준이 비빈다고? 어이가없다
93,단뇸이,장범준 승인듯
94,구광모,가수로는 성시경이고 뮤지션으로서는 장범준 아닌가
95,나라가왜이래,나도 장범준
96,firstaid,히트곡수는 성시경이고 고점은 장범준아닌가
97,순돌스,근데 일단 보컬실력면에선 성시경 아닌가?장범준은 작곡실력은 인정하지만 음색이외에는딱히 보컬로는 뭐없는데
98,아이스베어1,난 장범준 순전히 내가 노래들은 횟수만 생각해도 장범준 노래가 2배는 될듯
99,전주역,가창력이라던지 이런건 성시경이 이길 수 있으나 활동 자체는 장범준이 쌔다고 봄
100,나락빔,장범준은 천재임ㅇㅇ
101,마스터이이,"히든싱어 장범준 2라탈락 , 성시경 우승 .   고로 성시경 승"
102,꽃벙죽,가창력만 따지면 당연히 성시경이겠지 근데 누가 더 좋은 아티스트고 가수냐 하면 닥 장범준 아닌가? 애초에 장범준 앨범이랑 싱글 커리어 따라오는 가수가 몇이나 된다고
103,Lloyds,누구 노래가 더? 그러면 벚꽃 히트가 많은? 그러면 성시경 아닌가. 근데 영향력은 벚꽃 이길 노래가 앞으로도 있을까 싶다.
104,레아오,Lloyds 히트곡도 장범준이 못지 않은거같은데
105,강구zl,"아까도 장범준 너무 내려치기 당한다고 댓글달았었는데닥 성시경이란 사람들 보면 걍 앞뒤다짜르고 지생각만 맞다는 인간들이 많은듯그리고 성시경이 마녀사냥+유튭 으로 인지도 개올라가서 오히려 젊은세대가 장범준보다 성시경을 좋아하는게 느껴진다성시경 발라드가수로서 독자적인 입지,본인스타일,메가히트곡 다 인정하지만 막상 본인 가수하던 시절에 독보적인 느낌은 1도 없었음"
106,모기죽여존나죽여,노래 실력은 성시경그 외 직곡이라던가 대중성은 장범준 아님?
107,포계의업상입니다,이게 비교가되나 ㅋㅋㅋㅋ장범준은 진짜 한획을 그은 사람인데 성시경은 목소리 좋은 당시대 잘하는 가수 1 정도고
108,오르니틴,포계의업상입니다 신승훈 다음 계보가 성시경임국가대표 발라더하지만 장범준이 위라고 본다
109,dksmdjs,아까 댓글보니 장범준 개좆으로 보는 댓글들도 많던데 ㅋㅋㅋㅋㅋ성시경도 대단하지만 장범준을 개좆으로 보는 댓글이 있다는게 존나 신기했음 ㅋㅋ
110,더블치즈치즈,dksmdjs 여수 먹여 살린 인간을 어찌 저평가를 ㄷㄷㄷ
111,캡틴룩,"보컬만 따지면 성시경, 프로듀싱 능력까지 치면 장범준이라고 생각함"
112,대충그냥,그냥 장범준 노래 뽑는 실력이 미쳤음 난 엥간한 노래 다 좋더라
113,할머니사랑꾼,"성시경이 가수로서의 자질 (음색, 가창력)이 엄청 뛰어나고 명곡도 많지만 장범준은 좀 더 대중적으로 히트하고 성공을 거둔 뮤지션이라.. vs의 기준이 정확히 가수의 자질이냐 아님 그냥 연예인으로서의 대중성의 성공이냐에 따라 평가가 다르지"
114,세르히오정게로,닥성시경인줄 알았는데장범준 평가가 이리 높았나
115,에프엠골이아,나는 성시경이긴한데..지금까지 경력이나 이런걸 봤을때 장범준이..시간만지나면 뛰어넘을거라고봄...개인적으로 음색은 성시경이 너무좋고..다른 아티스트적인 능력이나 작사작곡능력은 장범준이 좋아서..ㅋㅋㅋ
116,으라챠,장범준은 버스커버스커 1집 발매한걸로 그냥 성시경 가볍게 정리하는거 아닌가... 이정도 파급력 가진 가수가 2010년대에 얼마나 있었는지
117,유상빈,노래 가창력은 성시경. 음악인으로서 더 성공은 장범준
118,콩순이김레이,노래를 누가 더 잘하냐 > 성시경누가 더 위대한 아티스트냐 > 장범준
119,대개장쓰,장범준이 진심모드로 계속 작곡했으면 진짜 슈퍼스타 가능인데 결혼한 뒤로는 그냥 즐기면서 사는듯
120,식민지구단,결국 돈 많이 번 사람이 승자아님?? 이걸로 따져도 장범준은 곡수가 적은 대신 효자곡이 성시경보다 수익이 좋을거 같고 성시경은 효자곡이 장범준보다 적겠지만 주옥 같은 노래가 한 둘이 아니라 존나 박빙이네
121,1년만에돌아온,"장범준은 시대의 아이콘임 그 특유의 작곡작사 능력, 창법, 감성은 그 누구도 대체 못하는 그러니까 벚꽃엔딩부터 지금까지 사랑받는거지"
122,혀르테타학,개인적으로 장범준 노래는 참 좋다는 생각이 항상 들지만 성시경 노래처럼 감동은 없는 듯 ..
123,내삶의반다이크,와 ㅋㅋㅋ진짜 내가 엄마한테 장범준 노래 뭐가 좋다고 맨날 듣냐고 소리 듣던 사람인데도 성시경인데어떻게 장범준이지 ㅋㅋㅋㅋ 진짜 이해 안됨ㅋㅋㅋ임팩트만 따지면 장범준인거 이해하는데 overall로 장범준이 위라고? 전혀 아마 10대20대 한정일듯
124,김가가,"누가 성시경은 어느노래든 부르면, 본인곡으로 승화시키는 창법을 가지고있다고해서그전까진 나도 성식이형 파였는데장범준 회상 듣고 생각 완전바뀜. 본인 창법 장난아님 그냥한국 어디에도 장범준처럼 노래부르는사람 찾기힘들정도로 유니크함가창력이런걸떠나서 ㅋㅋ김창완씨 노래를 그렇게 본인곡처럼 부를줄은 몰랐음"
125,잉이이이이,장범준은 아티스트영역이고 성시경은 걍 가수 범위가 다르다고봄
126,O.Skipp,포지션이 완전 다른데 무슨 의미가.. 가창력은 성시경 압승이고 작곡 능력은 장범준 압승 장범준은 노래도 하니까 종합점수가 높다고 하는데 성시경도 작곡 능력이 제로인게 아님
127,선사해,벚꽃엔딩 넘을수 있나
128,동탕,걍 지금 포크쪽 원탑 장범준발라드쪽 원탑 성시경인거지이걸 누가 낫니 마니 싸우는게 이상한거 아님?
129,오타니쵸비상,일반인 기준 가창력로만 따지면 소향이 우리나라 올타임 넘버원 가수냐 ㅋㅋ장범준이 보컬 실력 좀 밀려도 시대 풍미한 가수는 맞다
130,반코,"벚꽃엔딩이 불후의 명곡은 틀림없지만 거의 대부분 노래가 허어~어어~  원툴이고 목소리가 금방 질림성시경은 전문가들, 프로듀서들이 뽑은 올타임 넘버원 급 보컬"
131,ZUTOMAYO,그림도 AI가 그리고 노래도 AI가 부르는 마당에자기 노래를 자기 손으로 못쓰는사람을 아티스트라고 부를수 있냐는 근본적인 질문에 답을 해야할 때임이런 면에서 장범준이 위라고 봄
132,황족첼붕이,ZUTOMAYO 뭐 작곡능력면에서는 장범준이 위다 이런말하고싶은거아님? 성시경 작곡못함 이런뜻은아니고
133,역한축리웹,장범준 굴욕이네 ㅋㅋ
134,이창준,장범준은 비교적 최근이라 저평가 있는듯
135,김혜성,장범준  파급력은 진짜 어마어마하지 않나 전국민이 알만한 곡도 가지고있고
136,비내리는오후,고점은 장범준이 높아도 히트곡은 성시경이 더 많지 않나.
137,긴매,난 굳이 따지자면 장범준 세대인데도성시경이라고 생각하는데..
138,swallow,나도 둘 다 잘나가던 시절 다 경험했고 장범준은 슈스케때 초반에 떨어지기 전부터 얜 무조건 대성할 밴드라고 생각했었고 지금도 엄청 높게보긴하는데그래도 성시경..
139,데이곤,장범준은 성시경보다 sg 와나비랑 비교해야 급이 맞을 거 같은데
