ID,comments
래드키,튀르키예 애초에 성시경은 그 정도 고점을 찍은 적이 없어요...;;;
한국고대사,래드키 '거리에서'는 그래도  꽤 고점이라고 부를만하지 않나요??
래드키,한국고대사 사실 성시경 최고 히트곡은 거리에서가 아닙니다...;;;가장 유명한 노래지 가장 히트한 노래는 또 아닙니다 우린제법어울려요가 가장 많이 팔렸어요 성시경은 메가히트곡은 딱히 없어요고점만 치면 동시대 김나박이가 훨씬 높아요
디레스터,튀르키예 성시경이 레반이 아님
김해코스트코,"솔직히 성시경 그 정도 포스낸적 한번도 없는데감스트가 말하는 제너럴90 딱 그 느낌임06년인가? 거리에서 나올때도 인기 엄청많진 않았음단일곡 기준으론 윤도현 사랑했나봐가 인기 훨씬 많았고가수로는 SG워너비, 버즈 시대였지"
노하라히로시,노하라히로시 음방음원노래방차트콘서트음반판매량수상내역주요 기록들 전부 이승기가 우위그럼 대중가수로서 이승기>>성시경인가?
노하라히로시,자시안 그래서 엠팍 논리대로라면가수로서도 이승기>>>성시경 등등이 아니냐는게논란이었음. 엠팍이 이런 비교 나오면 맨날수상 실적 이런거 나열해서 우위 따졌거든
디레스터,노하라히로시 그래서 엠팍에서 매일 붙는 주제가이승기 vs 성시경이잖아그리고 생각보다 이승기가 내려쳐질 정도로 솔로로서 이룬게 낮은것도 아님
래드키,노하라히로시 왜냐면 가수로서 동시대에 활동했던 김나박이보다 성시경을 높게 평가한 사람은 거의 없었어요 저 4명이 다 내려온 상황에서도 아직까지 버티고 있어서 롱런으로 더 평가 받는거고요
자시안,"래드키 근데 진짜 가창력말고 가수로서 김범수, 이수>성시경은 동의못하겠는데"
충훈부,자시안 그렇긴한데 앨범 판매량이 둘이 비슷할거야 100만장대로 물론 성시경 노래가 더 오래가서 우위라고 생각하긴함 굳이 따지면 박효신 성시경 이수 이정도 생각함 ㅋㅋ
내장지방,충훈부 이수는 성시경 넘지 않나?성시경이 뭐 2010년대에 크게 히트한 게 없잖아 ost? 그거 말고는 뭐그 전까지는 성시경이 이수 위라 해도 이후에 역전한 거 같은데
루피,개소 추억보정이라고 하기에는보컬로서의 가창력이나 콘서트 관중동원력에서아직 장보다 성이 확실히 우위임장이 차트 성적이나 앨범의 음악성은 압살이지만그 외부분에서 아직 성시경이 생각보다 쌩쌩함그래서 근소우위라는거
루피,"개소 위에 나열한 4거지로 포인트로 보면 동급이 맞겠지2:2니깐내 관점에서는 가수의 보컬을 중요시하기때문에 성시경 근소우위라고 생각함결국 가수가 죽으면 남는건 앨범이기때문에 명반을 직접 만들고 가지고 있는 장이 더 위대한 아티스트로 평가받을 가능성이 높겠지만 아직 당장은 성의 보컬적인 실력이나 위상을 더 높게침음악성으로 가창력을 누르고 차트 성적으로 관중동원력을 대체한다는건 마찬가지로 그냥 너의 생각이겠지 실제로 대체가되진않음그냥 가창력, 음악성, 성적, 관중동원력 등의 4가지 포인트로 보는게 맞지"
제드왕,하루3시간취침 근데 성시경이한 잠실은 보조경기장임 주경기장이 아니라
하루3시간취침,제드왕 그러네 하긴 쓰면서 성시경이 주경기장 할수있나?싶긴했음
햄버걸줄수있을때,근데 성시경 당시에 그렇게 히트 아니라는데 나 02년생이라 성시경 전성기 세대 아닌데도 어렸을때부터 거리에도 내게오는길 이런거 어렴풋이 알고있었음반면에 더 히트했다는 이수영은 가수이름도 모르고 노래도 하나도 몰랐음 나중에 내가 직접 찾아보고서야 알았고
노하라히로시,"햄버걸줄수있을때 성시경 자체가 발라드의 황태자, 00년대 이후로 발라드 계보를 이어온 원톱으로서 상징성도 있고 OST도 대박나서"
김해코스트코,햄버걸줄수있을때 이수영은 골든디스크 대상 있고거리에서가 히트곡은 맞는데 당시 다른 노래들이 인기훨씬 많았어서
로제박은빈카리나,햄버걸줄수있을때 성시경은 꾸준히 활동했고 이수영은 거의 은퇴한거나 마찬가지였으니 당연히 모르지
Qwaszxer,난 성시경 성대가 너무 사기야.....
만들게없어,성시경 코앞에서 들은 나는 성시경.:
지프는지프,김해코스트코 고점만 비교하면 성시경은 이기찬 최전성기도 넘을지 모르겠음..그 시대 겪어본 입장에선
김해코스트코,지프는지프 거리에서 걍 당시 모세 사랑인걸이랑 같이 놀았지않나
RKO,지프는지프 성시경 고점은 개인 앨범보다 ost들이 더 높은거 아녀?
RKO,화이트보드 나는 백지영이랑 비교한게 아니고성시경 개인앨범이랑 성시경 ost 비교한거 ㅋㅋ
