ID,comments
동탕,곧발롱위너비닐신 저번 앨범 망한건 ㅇㅈ근데 뭐 아이돌 제외하고 10만씩 팔아제끼는 가수가 있나찾아보니 장범준 가장 최근 앨범 3집은 초동 3000장이라는데 왜 초동으로 이러는지 모름
오타니쵸비상,일반인 기준 가창력로만 따지면 소향이 우리나라 올타임 넘버원 가수냐 ㅋㅋ장범준이 보컬 실력 좀 밀려도 시대 풍미한 가수는 맞다
ZUTOMAYO,그림도 AI가 그리고 노래도 AI가 부르는 마당에자기 노래를 자기 손으로 못쓰는사람을 아티스트라고 부를수 있냐는 근본적인 질문에 답을 해야할 때임이런 면에서 장범준이 위라고 봄
ZUTOMAYO,"동탕 ""자기노래를 자기가 쓰는 능력이 중요한데 이 능력이 장범준이 위이다""이거 이해하는게 그렇게 힘듬?"
내삶의반다이크,ZUTOMAYO 지금 10년 20년전 결과물로 얘기하는데 이제 ai 나와서 작곡 잘하는 장범준이 위라는게 논리적이냐고.이제부터 ai 때문에 장범준의 작곡이 더 빛을 바라면 모를까 아직 암것도 없는데 ㅋㅋㅋ그리고 작곡 작사도 이제 ai가 함 ㅋㅋㅋ이세돌 이창호 얘기하는데 ai가 압살 이지랄 하는 꼴베기 싫은 말 하네
ZUTOMAYO,내삶의반다이크 2022년 기준으로 요즘엔 이렇게 가수를 평가하기도 한다라는 기준을 제시하고그 기준에 따르면 장범준이 위라고 볼수도 있다는 내 의견을 덧붙인거 뿐인데왤케 이해를 못함 씨발... 진짜 지능이 낮아서그런가
역한축리웹,장범준 굴욕이네 ㅋㅋ
이창준,장범준은 비교적 최근이라 저평가 있는듯
김혜성,장범준  파급력은 진짜 어마어마하지 않나 전국민이 알만한 곡도 가지고있고
류혜영사랑해,비내리는오후 장범준은 낸 모든 노래가 히트지
모두즐겁게,장범준은 한시대를 만들고 정점에 선사람임..
GUMAYUSl,가기로했으면가 버스커 장범준노래를 많이 안찾아듣는다는 소리는 근거없는 소리아님?
델카이저,음밥페내놔 https://m.fmkorea.com/best/5095952961내려치긴 장범준이 더당함
덤더럼,장범준이 ㅈ으로 보이냐? 막말로 장범준이 연예계 활동 했음 그냥 99대 1 나왔음 ㅋㅋㅋ
닉네임은8자이하,슈스케 최고의 아웃풋 아닌가싶다버스커버스커
브엉저낭,무슨 진짜 장범준 내려치기 개좆되네ㅋㅋㅋㅋㅋ
IZ*ONE사쿠,ㅁㅅㅍㅌ 벚꽃엔딩은 아실듯
어쩔점니,우리아빠 요즘노래 아무것도 모르는데도 벚꽃엔딩 벨소리로 해두심ㅋㅋㅋ
노장금,장범준은 활동도안하고 음원만던지는데 파워존나세잖아
어금니꽉깨물어라,다떠나서 장범준 노래를 더많이 들어서난 장범준
오르니틴,장범준은 요절하면김광석 급임
강구zl,"오르니틴 김광석 이상일수도 있음여수,벛꽃 생각해봐얘는 문화를 만들었는데"
닉네임은8자이하,은월향 버스커버스커 1집은 역대급이지
내손을잡아,장범준 노래 허어어어어어어엉이 대부분아녀?
자시안,내손을잡아 이게 장범준 비하로는 딜 제일 세네 시발ㅋㅋㅋ
지프는지프,장범준 : 봄 노래로 사회적 분위기 만들어서 애매한 애들도 당시 분위기 휩쓸려서 신입생들 섹스 가능하게 해줌노래방 찌질이들 다수의 히트곡으로 구제해줌여기서 게임 끝
장규진,가창력이나 이런거 볼게 아니라 가수면  대중성&그외등등 다 고려 해야하는거 아닌가  그런면에선  장범준이 맞다고봄 둘이 같은 장르도 아니고 전혀 다른 장르인데 비교할꺼면  가창력&대중성 파급력 최고점 등등 다 반영해야지
나다나야나,ㄹㅇ취향영역 장범준은 음원이랑 독보적 스타일로 비비는거긴함
지다누10,덤더럼 장범준 압승이라는 사람들 근거가 차트순위 아님? 헤이즈 차트순위가 박정현보다 압도적으로 높은데다 대부분 자작곡인데? 박정현은 가창력은 넘사지만 히트곡 언제인지 기억도 안 나고.. 댓글들 주장이랑 비슷하지 않음?
덤더럼,"지다누10 그럼 장범준이 헤이즈랑 동급이 되야하는데 그건 또 아니고, 장범준이 차트순위 하나로만 우위라 이야기 되는게 아니라서"
지다누10,덤더럼 차트 순위로 나누는 사람들이 많길래 해본 비유였음. 개인적으로 버스커버스커 1집은 인생명반 중 하나지만 그 이후 낸 앨범들은 거의 다 그 앨범 자기복제라서 음악적 한계가 더 드러났다고 생각함. 흔꽃샴같은 그나마 최근 히트곡들은 뭐 헤이즈랑 비교당해도 할 말 없는 수준인 것 같고..
DM,꼬우면 앨범 좀 내라 장범준
레뇨,둘이 강점있는 분야가 아예 달라서 비교의미가 없다생각하지만 장범준은 21세기 한국 남자싱어송라이터중 원탑아니냐
어쩔사과,bslbsl 장범준은 못채우는줄아노 ㅋㅋㅋ
레아오,하입쿠키 히트곡도 장범준이 더많음...
김해코스트코,하입쿠키 https://youtu.be/MgNsfKcMYnc장범준 히트곡 ㅈㄴ 많은데;
하입쿠키,류혜영사랑해 시대가 다르니까 ㅋㅋ 장범준 10년 지나면 예전만 할 거 같냐? ㅋㅋ 네온사인 첫사랑 바로 튀어 나온다는 건 억지고 ㅋㅋ 그리고 내게 오는길 너에게 너는 나의 봄이다 좋을텐데 제주도의 푸른 밤 등등 내가 다 일일이 또 써줘야 알아먹냐?
내장지방,하입쿠키 제주도의 푸른 밤 히트하긴 했냐? ㅋㅋㅋㅋ 이수영 광화문연가가 히트했다고 하면 그래 그건 히트하긴 했다 받아들이긴 할텐데 ㅋㅋㅋ 제주도의 푸른밤이 히트곡이면 장범준 노래는 왜 빼냐? ㅋㅋ
내삶의반다이크,김해코스트코 야 저 노래들 다 넣으면서 따질거면 ㅋㅋㅋ 버즈 히트곡이 더 많겠네 ㅋㅋㅋ 20대 한정 히트곡 우리만 아는 히트곡을 히트곡으로 다 침?참고로 나도 버스커 겁나 좋아함
장규진,하입쿠키 고점만 보더라도 장범준 압승아닌가 벚꽃엔딩&여수 밤바다  그리고 뭐 샴푸향인거  그나마 최근에 나온 신곡들도 인기 있더만
어쩔사과,하입쿠키 제발 그 히트곡좀 나열해봐라 그럼 장범준 히트곡 다 나열해줄테니까 ㅋㅋㅋㅋㅋ
오펜하이머무새,장규진 벚꽃엔딩은 가요사통틀어서 넘사인데 멜론기준 좋아요 너의모든순간이 10만 더많음여수밤바다보다
디발라맘,나이 많은데 나도 장범준임
레미르,"더 좋고 나쁘고를 떠나서 ""대중가수""로썬 장범준이 위지."
개가치멸망,한섬닷컴 ?? 20대 중후반 학창시절때 딱 버스커버스커 전성기였는데 뭔소리임
삐삐야삐삐,한섬닷컴 엠팍 틀딱 새끼들이 장범준 고르는걸 보여줘도 이런 소리를 하면 어쩌누 얜 ㅋㅋ
오일러정리,다른건 모르겠고 장범준이 내려치기 당할 클래스는아닌데
피카부,"본인 자작곡으로 한 시대 씹어먹은 장범준이 위지 버스커버스커 1집 여수밤바다, 벚꽃엔딩에서 게임 끝임"
오일러정리,20살때 버스커버스커 첫사랑 진짜 존나 아련했음 아직도 그거들으면 21살이 떠오른다
야무치,음악적 성과로 보면 닥 장범준인거같은데
사과애플,축구선수 비교랑 비슷하다고 봄 꾸준함도 중요한데 임팩트에 조금 더 점수가 간다고 생각한 그래서 장범준이 조금 더 위지 않을까 생각해봄
브엉저낭,Fkdkd 장범준은 저 노래말고도 더 말할노래 차고넘침
Fkdkd,브엉저낭 사실 다 컷함 ㅋㅋ 너무 많아서 버스커 1집 트랙 보여주면 입다물듯
모모크롱,음원은 장범준이 압승인데
사류하,과일귀신 최근 10년치는 아예 비교가 안 되게 장범준 압승임
에펨덕후,데뷔연차가 십년 가까이 차이나는데 삐까뜨는거 자체가 장범준 압승 아님?
포르쉐오너,본인 힙찔이임 내 기준 장범준 압승
하이블루,나도 장범준먼 미래에 더 회자될거 같음
덤더럼,낑깡꽁뀡 그런데도 비교가 나오고... 장범준 우위가 이렇게 많은거 보면 뭐 얼마나 대단한지 체감됨. 심지어 아직도 노래내면 순위권 차트인하고있는데
웰시코르키,지프는지프 장범준 벜벜시절까지 합쳐서 나온노래가 60여곡인데 제발뇌절좀ㅋㅋㅋ
구이92,44777 전성기 고점으로 보자고 하면 버스커 벚꽃연금 이길만한 앨범이 있음?
종윤사타구너,둘다 취향차이이긴한데스탈이 너무달라서 히트곡으로 치면 장범준이 압승이긴함벚꽃연금은 ㄹㅇ 넘사
자람자,장범준 노래 다 똑같이 들리고 음색도 다 똑같은데 발라드 가수로 뭐가 더 좋다는지 모르겠네 노래 걍 존나 질리는데
자시안,자람자 장범준 자가 복제라고 비판하는 사람도 꽤 있긴하지
예나요,자람자 근데 장범준이 발라드 가수로 치는게 맞나 ㅋㅋ
솔라,작사 작곡을 할 수 있다는 점에서 장범준이 더 우위일듯 가창 실력으로만 볼게 아니니까
사수,노래실력 빼면 다 장범준 승아님?
전승우승가능,귀로천 왜?임 별로 알려져있지도 않던 여수바다를 앤간한 바닷가보다 유명하게 만들어준 노래인데
전승우승가능,귀로천 그니깐 지금도 1년애 10곡은 나오는 히트곡 말고 진짜 메가히트곡 잇냐고 장범준은 벚꽃엔딩 빼고도 여수밤바다로 증명햠
귀로천,전승우승가능 이새끼 히트곡의 기준이 ㅈ좆대로네 ㅋ 여수밤바다 기준 히트곡이면 시발 ㅈ븅신아
덤더럼,귀로천 그정도급이면 장범준도 ㅈㄴ 많을듯 ㅋㅋㅋㅋ
귀로천,덤더럼 장범준은 걍 니말대로 임팩트 메가히트곡에 싱어송라이터라 ㄷㄷ인거고.. 가수경력차이가 나는데 히트곡이 더 많다니 당장 니새끼도 벚꽃엔딩 여수밤바다밖에 모르면서 ㅋㅋㅋㅋ
전승우승가능,귀로천 그니깐 저노래들 나오고 10년째 노안타인데 그게 롱런이냐?그리고 저 노래들이 여수밤바다만큼 사람들에게 영향력을 끼친 노래임?
덤더럼,귀로천 난 장범준이 더 많다생각함 ㅇㅇ 고점은 뭐 말할 수준도 안되고 단순 히트곡말고도 그냥 장범준이 더 위라봄
컨설팅꿈나무,귀로천 장범준이 히트곡 훨씬 많을듯
레아오,화산귀환1 저게 무슨 다 여수밤바다 급임 ㅋㅋㅋㅋㅋㅋㅋ 어이가 없구만 ㅋㅋㅋㅋㅋ
귀로천,레아오 언제부터 히트곡 기준이 여수밤바다였냐 ㅋ
맹모띠,난 장범준 노래를 많이 들어서 장범준
파포스트,파포스트 가수로 비교할거면 가창력이 어느정도는 비벼져야 히트곡이든 작사작곡이든 끌고올수있는데 장범준은 노래를 너무 못불러
킹갓제너럴아자르,"파포스트 작사, 작곡만으로 비빈다는 얘기는 아니야. 가창력을 평가하는 기준이 사람마다 다를 수 있어. 장범준이 직접 만들고 본인 창법으로 부른 노래들도 충분히 많은 사람들한테 사랑받았고 그것 때문에 비교되고 있는거임. 너무 차이나지는 않아. 장범준 창법도 정말 매력있음"
인사가사람을만든,벚꽃엔딩 < 끝판왕
속삭이는몽자,지프는지프 그러게 장범준 데뷔할때 대학들어온애들이 지금 30살일텐데ㅋㅋㅋㅋㅋ
로제박은빈카리나,지프는지프 솔직히 장범준은 21세기 한국 대중음악사 영향력 아무리 넓게 잡아도 최소 탑텐 안에 들어감
오르니틴,근데 장범준싱어송라이터 이전에가순데가창력이 너무 하급이긴 하다
뉴돼지맨,0나니 미소천사 좋을텐데를 히트곡으로 잡으면 잠이오질않네요 노래방에서 당신과는천천히 첫사랑 꽃송이가 등등 장범준이 훨씬 많은데
축구의신아자르,0나니 아니 미소천사가 유명하긴해도 꽃송이가는 그 당시 차트 올킬하고 벚꽃엔딩만 아니었으면 1위찍을노래임ㅋㅋㅋ 그래서 미소천사 몇등했는데? 대중성으로 따지면 비교가 안되는구만 어거지는 누가부리는겨ㅋㅋㅋㅋ 누가 미소천사 모른데? 꽃송이가가 훨씬 유명하지 뭘 ㅋㅋㅋㅋ
0나니,축구의신아자르 벚꽃엔딩만 아니면???긍까 결론은 1위 못한거아냐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ글고 벚꽃 아니더라도 2티어는 여수밤바다 였고 일반인들은 거의 다 벚꽃이랑 여수를 메인으로 들었지 꽃송이가는 그냥 수록곡으로 같이듣는 사이드 수준이었음
