ID,comments
Olimpico,솔직히 성시경 전성기때 탑급아니었음 안티 많았던것도 기억나고 요새 와서야 다시 뜬거지
JROD,모르겠고 성시경 먹을텐데 씹꿀잼
789456,마크로니아 성시경이 나훈아 신승훈급 찍어본적이 있나
코제르다르크,난 무조건 성시경 90년생임 세대 차이도 있을 듯? 성시경도 히트곡 존나 많음 최근 놀면뭐하니 영상이나 딩고 영상 보면 수십곡 부르는데 팬 아닌 나도 모르는 노래가 없던데 ㅋㅋ
갓지은식은밥,동시대 성시경이랑 비슷하게 데뷔한가수가 나얼 김범수 박효신 아님? 애초에 동시대 씹어먹은적도 없는데 성발라 왤케 고평가하지..
고스로,갓지은식은밥 https://theqoo.net/square/2257562413응 멜론 누적 남솔 1위가 성시경임현실은 00년대 노래중에 감상자수 500만 넘은 발라드곡 거리에서랑 눈의꽃 두곡뿐이다
초범9,성시경 전성기 세대 입장에서 솔직히 까고 말해 지금 성시경은 유튜브나 마녀사냥 같은 예능으로 익숙해져서 고평가 ‘당한다’고 생각함..성시경 전성기라고 할 수 있는 00년대 초중반에 성시경은 그냥 노래 잘 부르는 괜찮은 발라드 가수 정도 이미지였는데 갑자기 무슨 탑 발라더 계보까지 나와서 좀 당황했음.
야쿠르트아줌마,초범9 ㄹㅇ 요즘에야 성시경 노래 많이 듣지 어렸을때sg워너비 vos 먼데이키즈 휘성 버즈 kcm 노래를 더 많이 들었음갠적으로 탑 발라더는 이승철이고
더블치즈치즈,초범9 그때 브라운아이즈 노래를 존나 들었지 성시경 노래는 그냥 좋다~ 요정도ㅋㅋㅋ
김문약,실력적으론 시경이형이지
지나이,성시경도 히트곡 많은 가수인건 팩트지만 벛꽃엔딩으로 이미 끝났음.세대를 아우르는 노래 한곡 만들었으면 다른건 다 필요없는거라고 봄.
타즈딩고,드라마 때려 재밌게 봐서 성시경
음탕지찬,성시경 걍 예능인아니냐?
STAYC수민,성시경 걍 먹방원툴 ㅇㅇ
다두다아라,성시경 최고 히트곡이 뭐임
페리트도,다두다아라 거리에서?
쓰빠루빠,"성시경이 학벌, 예능으로 이미지 이득 많이 본 사람 이지... 성시경 하면 떠오르는 노래가 있긴 하냐?"
코나유키,쓰빠루빠 희재 거리에서 등등 히트곡은 많지;; 너무 억까다
대기업생산직,음..저는 성시경 한 표
한문철의블랙박스,시경이형은 이제 밥먹으러 다녀야지
8도,김해코스트코 멜론에 있는 자료만 보면 거리에서가 눈의꽃 보고싶다 이상인데
클클클클,난 성시경이윽고 이걸로 끝나다고 봄 ㅇㅇ
라크슌,콘서트 누구갈래하면 대부분 성시경아닐까?
